小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,,,
正荣润江城,浦口,650,28937元/平米,6室4厅1厨2卫,低楼层 (共31层),224.63㎡,跃层,暂无数据,板楼,南,钢混结构,其他,三梯三户,有,70年,2018/3/6,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
集庆路,秦淮,320,34943元/平米,4室2厅1厨2卫,低楼层 (共7层),91.58㎡,平层,78.4㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2017/10/7,动迁安置房,2003/6/11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
瑞金路二号四号小区,秦淮,205,37246元/平米,2室1厅1厨1卫,高楼层 (共7层),55.04㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2018/1/9,房改房,2000/9/2,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
仁恒G53,建邺,420,52685元/平米,1室2厅1厨2卫,高楼层 (共17层),79.72㎡,平层,63.38㎡,板楼,东南,钢混结构,精装,两梯十四户,有,70年,2017/3/7,商品房,2013/6/13,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,,,
锦绣花园紫桂园,江宁,195,20823元/平米,2室1厅1厨1卫,中楼层 (共6层),93.65㎡,平层,83.16㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/2/4,商品房,2012/8/21,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
月苑六村,玄武,370,32245元/平米,3室2厅1厨1卫,低楼层 (共6层),114.75㎡,平层,101.01㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/12/10,商品房,2014/11/27,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
通宇林景雅园,浦口,257,28652元/平米,2室2厅1厨1卫,低楼层 (共11层),89.7㎡,平层,75.42㎡,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2018/3/6,商品房,2013/4/26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
金蕊家苑,雨花台,269,28876元/平米,2室2厅1厨1卫,高楼层 (共11层),93.16㎡,平层,77.22㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2018/3/10,动迁安置房,2015/11/25,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
月苑一村,玄武,172,26696元/平米,2室1厅1厨1卫,低楼层 (共7层),64.43㎡,平层,55.64㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2017/12/3,房改房,2017/12/3,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
悦民公寓,江宁,168,21742元/平米,2室2厅1厨1卫,高楼层 (共6层),77.27㎡,平层,68.83㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/10/6,经济适用房,2016/2/17,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
马群公寓,栖霞,138,28889元/平米,2室1厅1厨1卫,高楼层 (共6层),47.77㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,暂无数据,70年,2017/11/21,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
城开怡家,建邺,380,41002元/平米,2室2厅1厨1卫,高楼层 (共11层),92.68㎡,平层,76.92㎡,板塔结合,南 北,钢混结构,其他,一梯两户,有,70年,2017/12/6,商品房,2013/9/11,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
君悦湖滨,雨花台,490,40410元/平米,3室2厅1厨2卫,低楼层 (共11层),121.26㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,其他,一梯两户,有,70年,2017/3/30,商品房,2010/8/16,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
金陵村,鼓楼,152,23200元/平米,2室2厅1厨1卫,高楼层 (共7层),65.52㎡,平层,57.98㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2018/3/15,房改房,2012/12/28,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
金基汇锦国际,建邺,300,61288元/平米,2室2厅1厨1卫,高楼层 (共12层),48.95㎡,跃层,39.19㎡,板塔结合,南 北,钢混结构,其他,两梯十三户,有,70年,2018/1/4,商品房,2010/3/18,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
中海国际社区二期,江宁,188,23807元/平米,2室2厅1厨1卫,低楼层 (共32层),78.97㎡,暂无数据,70㎡,板塔结合,南,钢混结构,毛坯,一梯两户,暂无数据,70年,2017/9/10,商品房,2017/1/10,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
万裕龙庭水岸,江宁,192,23944元/平米,2室2厅1厨1卫,低楼层 (共25层),80.19㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯四户,暂无数据,70年,2018/2/26,商品房,2018/2/8,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
殷高巷,秦淮,225,27440元/平米,2室2厅1厨1卫,高楼层 (共6层),82㎡,平层,71.65㎡,板塔结合,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2018/2/24,房改房,2012/6/27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
中山门小区,秦淮,155,29912元/平米,2室1厅0厨1卫,高楼层 (共6层),51.82㎡,暂无数据,暂无数据,板楼,南,砖混结构,其他,一梯两户,暂无数据,70年,2017/9/19,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片,,,
天地新城天琴座,江宁,430,21939元/平米,4室3厅1厨3卫,低楼层 (共3层),196㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,暂无数据,70年,2018/1/22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 300万元
                              ",未上传房本照片,,,
旭日爱上城第四区南区,浦口,198,26664元/平米,2室2厅1厨1卫,中楼层 (共15层),74.26㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,两梯三户,有,70年,2018/3/3,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
威尼斯水城第十三街区,浦口,265,22602元/平米,3室2厅1厨2卫,低楼层 (共28层),117.25㎡,平层,93.8㎡,板楼,南 北,钢混结构,精装,两梯四户,有,70年,2017/12/7,商品房,2016/7/13,普通住宅,未满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
乔虹苑,秦淮,140,27834元/平米,2室1厅1厨1卫,高楼层 (共6层),50.3㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2017/12/14,房改房,2017/11/16,普通住宅,未满两年,非共有,"
                                有抵押
                              ",已上传房本照片,,,
罗廊巷2号,秦淮,268,29772元/平米,3室1厅1厨1卫,高楼层 (共7层),90.02㎡,平层,79.25㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2017/11/17,商品房,2013/5/27,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
宏图上逸园,玄武,544,34000元/平米,4室2厅1厨2卫,中楼层 (共6层),160㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,有,70年,2017/4/17,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                暂无数据
                              ",未上传房本照片,,,
浦东大厦,浦口,148,16710元/平米,2室1厅1厨1卫,中楼层 (共38层),88.57㎡,平层,暂无数据,板塔结合,西北,钢混结构,其他,四梯二十二户,有,40年,民水,民电,2.2元/m3,2017/12/28,商品房,2016/8/8,商业办公类,未满两年,共有,"
                                暂无数据
                              ",已上传房本照片
车站东巷,鼓楼,261,30083元/平米,3室1厅1厨1卫,高楼层 (共7层),86.76㎡,平层,39.47㎡,板楼,东南,钢混结构,其他,一梯两户,暂无数据,70年,2017/10/13,房改房,2017/10/13,普通住宅,未满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
瑞金北村,秦淮,202,38817元/平米,2室1厅1厨1卫,高楼层 (共7层),52.04㎡,暂无数据,7.49㎡,板楼,西南,钢混结构,精装,一梯四户,有,70年,2017/8/15,房改房,2006/6/21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
紫金墨香苑,玄武,220,28895元/平米,2室1厅1厨1卫,低楼层 (共18层),76.14㎡,平层,60.24㎡,板塔结合,南 北,钢混结构,其他,两梯六户,有,70年,2017/12/23,动迁安置房,2016/4/11,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
