小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,,,
阳光之旅,江宁,163,17998元/平米,2室2厅1厨1卫,低楼层 (共6层),90.57㎡,暂无数据,80.62㎡,板塔结合,北,钢混结构,精装,一梯三户,暂无数据,70年,2017/8/11,商品房,2009/6/16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
黑龙江路,鼓楼,235,25450元/平米,2室2厅1厨1卫,高楼层 (共6层),92.34㎡,暂无数据,83.46㎡,板楼,南,砖混结构,其他,一梯两户,暂无数据,70年,2017/8/26,房改房,2010/6/1,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
天地新城天权座,江宁,300,19082元/平米,5室2厅1厨1卫,高楼层 (共6层),157.22㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2016/5/23,商品房,2002/2/8,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
东郊小镇第一街区,江宁,177,20575元/平米,2室2厅1厨1卫,低楼层 (共6层),86.03㎡,暂无数据,76.05㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/11/3,商品房,2014/3/28,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
浦厂南苑,浦口,126,21747元/平米,2室1厅1厨1卫,中楼层 (共5层),57.94㎡,平层,49.4㎡,板塔结合,南,钢混结构,简装,一梯两户,暂无数据,70年,2017/10/31,商品房,2013/11/13,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
莺虹苑,秦淮,198,30183元/平米,2室1厅1厨1卫,中楼层 (共7层),65.6㎡,暂无数据,55.22㎡,板楼,南 北,钢混结构,简装,一梯三户,暂无数据,70年,2018/3/19,房改房,2013/9/18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
万达东坊,建邺,345,38957元/平米,2室2厅1厨1卫,低楼层 (共8层),88.56㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯四户,有,65年,2016/11/18,商品房,2010/10/26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
威尼斯水城第六街区,浦口,200,22829元/平米,2室2厅1厨1卫,中楼层 (共11层),87.61㎡,平层,70.03㎡,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2018/3/5,商品房,2013/12/31,普通住宅,满两年,共有,"
                                有抵押 10万元
                              ",已上传房本照片,,,
白鹭花园凤栖苑,建邺,155,29808元/平米,2室1厅1厨1卫,中楼层 (共7层),52㎡,平层,暂无数据,板塔结合,东 西,砖混结构,其他,一梯两户,暂无数据,70年,2018/3/5,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
中浩学府风景,江宁,215,24128元/平米,2室2厅1厨1卫,高楼层 (共6层),89.11㎡,平层,76.11㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/1/6,商品房,2012/3/30,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
城市绿洲花园,栖霞,302,28944元/平米,3室2厅1厨1卫,低楼层 (共6层),104.34㎡,平层,89.58㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/1/7,商品房,2016/8/10,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
天平公寓,江宁,280,31497元/平米,3室2厅1厨1卫,低楼层 (共6层),88.9㎡,平层,暂无数据,板楼,南 北,未知结构,其他,一梯两户,暂无数据,70年,2017/11/30,商品房,2001/8/13,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
瑞鸿名邸,江宁,215,32268元/平米,2室1厅1厨1卫,高楼层 (共20层),66.63㎡,暂无数据,暂无数据,板塔结合,东 南,钢混结构,精装,两梯七户,有,70年,2016/10/24,商品房,2012/11/20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
奥克斯钟山府,玄武,320,36037元/平米,3室2厅1厨1卫,中楼层 (共11层),88.8㎡,平层,72.43㎡,塔楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/11/10,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
湖滨世纪花园,江宁,268,23198元/平米,3室2厅1厨1卫,高楼层 (共6层),115.53㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/2/23,商品房,2016/5/20,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
天润城第十四街区,浦口,175,19985元/平米,3室2厅1厨1卫,低楼层 (共11层),87.57㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,有,70年,2018/1/12,商品房,2015/4/23,普通住宅,满两年,共有,"
                                有抵押 50万元 公积金贷款 客户偿还
                              ",已上传房本照片,,,
银河湾福苑,建邺,225,38462元/平米,1室1厅1厨1卫,低楼层 (共11层),58.5㎡,暂无数据,42.17㎡,塔楼,东北,钢混结构,简装,一梯十九户,有,70年,2017/4/26,商品房,2010/10/23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
紫金西区中央,建邺,240,60091元/平米,1室1厅1厨1卫,高楼层 (共19层),39.94㎡,暂无数据,28.41㎡,板楼,南,钢混结构,精装,四梯二十六户,有,70年,2018/2/28,商品房,2011/6/21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
程阁老巷,秦淮,385,32534元/平米,3室2厅1厨1卫,高楼层 (共8层),118.34㎡,暂无数据,110.07㎡,板楼,南 北,砖混结构,其他,一梯两户,有,70年,2017/8/6,房改房,1999/12/27,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
紫气钟山,玄武,210,34803元/平米,2室1厅1厨1卫,高楼层 (共6层),60.34㎡,暂无数据,46.4㎡,塔楼,西 北,钢混结构,其他,两梯十三户,有,70年,2017/4/23,商品房,2012/10/25,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
天泰花园南区,江宁,215,25259元/平米,2室1厅1厨1卫,中楼层 (共7层),85.12㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,有,70年,2017/10/21,商品房,2008/11/1,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
露园,建邺,233,33468元/平米,2室1厅1厨1卫,高楼层 (共6层),69.62㎡,平层,60㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/9/23,商品房,2000/11/9,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
桥北新村,浦口,205,17213元/平米,4室2厅1厨1卫,高楼层 (共6层),119.1㎡,暂无数据,104.2㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/8/22,商品房,2008/8/28,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
金城花园,鼓楼,358,31865元/平米,3室2厅1厨2卫,低楼层 (共7层),112.35㎡,暂无数据,100.77㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/5/14,商品房,2012/7/16,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
弘阳旭日上城二区,浦口,340,24097元/平米,3室2厅1厨2卫,中楼层 (共34层),141.1㎡,平层,暂无数据,塔楼,南 北,钢混结构,毛坯,三梯三户,有,70年,2017/1/18,商品房,2017/2/10,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
随园,鼓楼,220,31434元/平米,3室1厅1厨1卫,高楼层 (共7层),69.99㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,暂无数据,70年,2017/11/26,房改房,2007/9/2,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
钟山花园城山水居,玄武,530,35588元/平米,3室2厅1厨2卫,低楼层 (共18层),148.93㎡,暂无数据,124.22㎡,板楼,南,钢混结构,简装,两梯两户,有,70年,2017/7/14,商品房,2009/7/8,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
江南青年城绯云苑,江宁,320,21858元/平米,4室2厅1厨2卫,高楼层 (共6层),146.4㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2018/3/17,商品房,2005/6/9,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
东景花园,栖霞,240,30829元/平米,2室2厅1厨1卫,中楼层 (共9层),77.85㎡,平层,6694㎡,板楼,南,钢混结构,其他,一梯三户,有,70年,2018/2/25,房改房,2008/5/1,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
中粮鸿云,江宁,220,24227元/平米,3室1厅1厨1卫,中楼层 (共20层),90.81㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,一梯四户,暂无数据,70年,2017/11/6,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
大华锦绣华城阅江山,浦口,295,27831元/平米,4室2厅1厨1卫,低楼层 (共8层),106㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,其他,一梯三户,暂无数据,70年,2017/6/21,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
月牙湖花园,秦淮,320,38878元/平米,2室2厅1厨1卫,中楼层 (共6层),82.31㎡,平层,72.38㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2017/9/24,商品房,2009/8/11,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
天目路,鼓楼,650,85945元/平米,2室1厅1厨1卫,中楼层 (共5层),75.63㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,一梯两户,暂无数据,70年,2017/9/15,商品房,2015/9/14,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
水西门大街,建邺,192,31974元/平米,2室1厅1厨1卫,中楼层 (共6层),60.05㎡,平层,54.33㎡,板楼,南 北,砖混结构,简装,一梯三户,暂无数据,70年,2017/9/18,房改房,2013/10/17,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,
金地自在城第一街区,雨花台,225,25715元/平米,2室2厅1厨1卫,高楼层 (共32层),87.5㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯三户,有,70年,2018/2/24,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
咏梅山庄,栖霞,350,28967元/平米,3室2厅1厨2卫,低楼层 (共6层),120.83㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,一梯两户,暂无数据,70年,2017/7/15,商品房,2000/7/11,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,,,
中海万锦熙岸一期,浦口,238,22229元/平米,3室2厅1厨1卫,低楼层 (共26层),107.07㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,70年,2018/3/18,商品房,2016/10/11,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
盈家春天,江宁,96,23234元/平米,1室1厅1厨1卫,低楼层 (共18层),41.32㎡,暂无数据,34.66㎡,板楼,北,钢混结构,其他,两梯六户,有,70年,2017/10/6,商品房,2013/11/28,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
辰龙雅苑,鼓楼,142,33570元/平米,1室0厅1厨1卫,低楼层 (共17层),42.3㎡,暂无数据,暂无数据,塔楼,西,钢混结构,其他,两梯二十五户,有,65年,2017/1/1,商品房,2012/10/14,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
文化名园上筑园,江宁,288,23373元/平米,3室2厅1厨2卫,高楼层 (共16层),123.22㎡,跃层,暂无数据,塔楼,南,钢混结构,其他,两梯八户,有,70年,2017/12/7,商品房,2009/9/30,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
中海国际社区二期,江宁,200,25642元/平米,2室1厅1厨1卫,低楼层 (共18层),78㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,暂无数据,70年,2017/7/19,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片,,,
通宇林景雅园,浦口,318,27213元/平米,3室1厅1厨2卫,低楼层 (共11层),116.86㎡,暂无数据,100.65㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017/10/11,商品房,2013/3/8,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
华茂大厦,鼓楼,420,35097元/平米,2室2厅1厨1卫,中楼层 (共16层),119.67㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,2018/2/28,商品房,2013/8/7,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,
鸿达新寓,建邺,330,37827元/平米,2室2厅1厨1卫,中楼层 (共7层),87.24㎡,平层,76.59㎡,板楼,南 北,砖混结构,精装,一梯两户,有,70年,2018/1/5,商品房,2015/11/17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
多伦路,鼓楼,200,30803元/平米,3室1厅1厨1卫,中楼层 (共7层),64.93㎡,平层,55.6㎡,板楼,东 南,钢混结构,其他,一梯四户,暂无数据,70年,2018/3/12,房改房,2008/1/16,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
市政天元城,江宁,340,28558元/平米,3室2厅1厨2卫,中楼层 (共11层),119.06㎡,暂无数据,100.67㎡,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2018/3/18,商品房,2014/11/3,普通住宅,满两年,共有,"
                                有抵押 客户偿还
                              ",已上传房本照片,,,
白鹭花园莺歌苑,建邺,335,35477元/平米,2室2厅1厨1卫,低楼层 (共7层),94.43㎡,平层,84.97㎡,板塔结合,南 北,砖混结构,简装,一梯两户,暂无数据,70年,2017/9/15,房改房,2009/3/20,普通住宅,满五年,共有,"
                                有抵押 20万元 建设银行 业主自还
                              ",已上传房本照片,,,
金城丽景南区,浦口,185,21321元/平米,2室2厅1厨1卫,低楼层 (共18层),86.77㎡,暂无数据,71.05㎡,板楼,南,钢混结构,其他,两梯三户,有,70年,2017/6/24,商品房,2013/3/26,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
海德北岸城,浦口,205,22972元/平米,2室2厅1厨1卫,中楼层 (共11层),89.24㎡,平层,71.78㎡,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2017/11/28,商品房,2009/4/10,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
清凉门小区,鼓楼,264,55196元/平米,2室1厅1厨1卫,中楼层 (共5层),47.83㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,其他,一梯四户,暂无数据,70年,2018/3/17,房改房,2010/3/9,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
湖滨公寓,江宁,398,18686元/平米,4室2厅1厨3卫,低楼层 (共3层),213㎡,跃层,200㎡,板楼,南,砖混结构,其他,一梯两户,暂无数据,70年,2018/3/5,商品房,2018/3/5,普通住宅,未满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
牵牛巷,秦淮,215,30684元/平米,2室2厅1厨1卫,低楼层 (共7层),70.07㎡,暂无数据,62.15㎡,板塔结合,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2018/3/17,商品房,1999/10/21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
成贤公寓,玄武,753,48076元/平米,4室2厅1厨2卫,高楼层 (共11层),156.63㎡,跃层,143.12㎡,塔楼,南 北,钢混结构,精装,一梯两户,有,70年,2017/1/18,商品房,2012/3/8,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
钟山花园城山水居,玄武,412,43830元/平米,2室1厅1厨1卫,高楼层 (共17层),94㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯三户,有,70年,2018/3/8,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
大华锦绣华城香鸢美颂,浦口,220,27789元/平米,2室2厅1厨1卫,低楼层 (共18层),79.17㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,70年,2018/2/26,商品房,2016/11/18,普通住宅,未满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
慧园街,秦淮,265,39647元/平米,2室1厅1厨1卫,低楼层 (共6层),66.84㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,暂无数据,70年,2017/12/11,房改房,2001/12/19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
江月府,浦口,248,23087元/平米,3室1厅1厨1卫,中楼层 (共18层),107.42㎡,平层,101.05㎡,板楼,南 北,未知结构,毛坯,一梯三户,暂无数据,70年,2017/5/7,商品房,2016/7/28,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
芙蓉园,江宁,260,23223元/平米,3室2厅1厨1卫,低楼层 (共5层),111.96㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/16,商品房,2003/1/29,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
明发滨江新城三期,浦口,232,20439元/平米,3室2厅1厨2卫,低楼层 (共34层),113.51㎡,暂无数据,90.21㎡,塔楼,南 北,钢混结构,简装,两梯六户,有,70年,2018/2/24,商品房,2010/12/31,普通住宅,满五年,非共有,"
                                有抵押 21万元 中国工商银行银行股份有限公司南京高新技术 客户偿还
                              ",已上传房本照片,,,
万科金色半山,浦口,400,37020元/平米,3室2厅1厨2卫,高楼层 (共6层),108.05㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/10/15,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
天润城第九街区,浦口,180,22119元/平米,2室1厅1厨1卫,低楼层 (共11层),81.38㎡,平层,66.05㎡,板楼,南,钢混结构,其他,一梯两户,有,70年,2018/3/13,商品房,2010/10/13,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
虹苑新寓一村,建邺,165,25863元/平米,2室1厅1厨1卫,高楼层 (共8层),63.8㎡,暂无数据,54.6㎡,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2017/7/8,房改房,1999/11/25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
弘阳旭日上城一区,浦口,300,25587元/平米,3室2厅1厨1卫,高楼层 (共17层),117.25㎡,平层,92.48㎡,塔楼,南 北,钢混结构,其他,两梯两户,有,70年,2018/1/13,商品房,2011/3/8,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
艺苑村,建邺,165,27976元/平米,2室1厅1厨1卫,高楼层 (共5层),58.98㎡,平层,49.23㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2017/11/9,经济适用房,2015/12/8,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
中电颐和家园睿域,玄武,438,38351元/平米,2室2厅1厨1卫,高楼层 (共18层),114.21㎡,平层,114.21㎡,塔楼,南,钢混结构,其他,两梯三户,有,70年,2018/3/4,商品房,2014/7/14,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
华保新寓,鼓楼,230,35659元/平米,2室2厅1厨1卫,高楼层 (共6层),64.5㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,暂无数据,70年,2016/10/4,动迁安置房,2002/4/17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
天地新城天心座,江宁,216,23474元/平米,2室1厅1厨1卫,高楼层 (共6层),92.02㎡,平层,82.73㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/7/4,商品房,2009/12/22,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
威尼斯水城第十四街区,浦口,275,21539元/平米,5室1厅1厨2卫,高楼层 (共18层),127.68㎡,暂无数据,103.04㎡,板楼,南 北,钢混结构,其他,两梯四户,有,70年,2018/3/21,商品房,2014/2/12,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
胜泰华府,江宁,125,31905元/平米,1室1厅1厨1卫,低楼层 (共14层),39.18㎡,平层,27.4㎡,塔楼,南,钢混结构,其他,两梯九户,有,70年,2017/12/8,商品房,2013/12/24,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
金地湖城艺境,栖霞,370,35455元/平米,3室2厅1厨1卫,高楼层 (共7层),104.36㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2018/3/18,商品房,2017/8/14,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
华汇康城,江宁,229.5,18760元/平米,3室2厅1厨2卫,高楼层 (共6层),122.34㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/3/19,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
金珠花苑,浦口,282,21480元/平米,3室2厅1厨2卫,低楼层 (共6层),131.29㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2016/10/17,商品房,2011/1/19,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
天润城第十六街区北区,浦口,195,21742元/平米,2室2厅1厨1卫,中楼层 (共32层),89.69㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,三梯五户,有,70年,2017/10/8,商品房,2017/10/18,普通住宅,未满两年,共有,"
                                有抵押
                              ",已上传房本照片,,,
植物园宿舍,秦淮,440,33369元/平米,4室2厅1厨2卫,高楼层 (共6层),131.86㎡,跃层,118.47㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2018/3/12,房改房,2010/10/22,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
天地花园,秦淮,189,30043元/平米,2室1厅1厨1卫,低楼层 (共7层),62.91㎡,平层,52.91㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2018/3/11,动迁安置房,1999/6/9,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
城市之光大厦,江宁,125,21911元/平米,1室1厅1厨1卫,高楼层 (共30层),57.05㎡,平层,暂无数据,塔楼,南,钢混结构,简装,八梯五十七户,有,65年,2017/12/13,商品房,2017/4/15,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
芦席营70号,鼓楼,175,31749元/平米,2室1厅1厨1卫,高楼层 (共7层),55.12㎡,暂无数据,47.21㎡,板楼,南,砖混结构,其他,一梯两户,有,70年,2017/11/3,房改房,2003/7/23,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
盛景华庭北苑,浦口,210,22824元/平米,3室2厅1厨1卫,低楼层 (共11层),92.01㎡,平层,78.95㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017/12/6,房改房,2013/12/10,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
天润城第十六街区北区,浦口,240,18476元/平米,3室1厅1厨1卫,低楼层 (共32层),129.9㎡,暂无数据,100.63㎡,板塔结合,南 北,钢混结构,其他,三梯四户,有,70年,2017/10/30,商品房,2016/12/22,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
雅居乐花园,秦淮,1050,40072元/平米,5室2厅1厨3卫,中楼层 (共25层),262.03㎡,平层,210.76㎡,板塔结合,东南,钢混结构,其他,两梯两户,有,70年,2017/10/22,商品房,2012/7/18,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
佳乐福新寓,鼓楼,352,20709元/平米,4室2厅1厨1卫,低楼层 (共9层),169.98㎡,暂无数据,146.22㎡,板楼,南,钢混结构,其他,一梯一户,有,70年,2017/6/22,房改房,2003/2/10,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
和燕路小区,栖霞,165,22211元/平米,2室1厅1厨1卫,高楼层 (共6层),74.29㎡,平层,64.66㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/8,商品房,2013/9/13,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
宋艾新村,江宁,232,25336元/平米,2室2厅1厨1卫,中楼层 (共6层),91.57㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,暂无数据,70年,2017/12/1,动迁安置房,2016/12/2,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
交通一村,鼓楼,140,27001元/平米,2室1厅1厨1卫,高楼层 (共7层),51.85㎡,暂无数据,45.4㎡,板塔结合,南 北,钢混结构,其他,一梯三户,暂无数据,70年,2017/11/5,商品房,2009/7/15,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
胜利村108号,玄武,340,32381元/平米,3室2厅1厨1卫,低楼层 (共6层),105㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/11/15,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
海峡城云玺湾,建邺,480,41995元/平米,3室2厅1厨2卫,高楼层 (共21层),114.3㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,一梯四户,暂无数据,70年,2018/1/2,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
明湖山庄,秦淮,740,32971元/平米,6室3厅1厨3卫,高楼层 (共6层),224.44㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/8/6,商品房,2005/5/16,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
百家湖国际花园,江宁,310,23885元/平米,4室2厅1厨2卫,高楼层 (共28层),129.79㎡,平层,107.68㎡,塔楼,东,钢混结构,其他,两梯八户,有,70年,2017/12/6,商品房,2015/10/16,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
武夷花园,江宁,390,26975元/平米,4室1厅1厨2卫,中楼层 (共4层),144.58㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2018/1/27,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,,,
樱铁村小区,玄武,135,26057元/平米,2室1厅1厨1卫,高楼层 (共6层),51.81㎡,暂无数据,44.52㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017/5/9,房改房,2011/3/18,普通住宅,满五年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片,,,
翠屏国际广场苑,江宁,518,27936元/平米,5室2厅1厨2卫,高楼层 (共11层),185.43㎡,跃层,160.38㎡,板楼,东 南 西,钢混结构,精装,一梯五户,有,70年,2016/12/30,商品房,2010/1/18,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
新城市广场摩尔特区,鼓楼,128,25823元/平米,1室1厅1厨1卫,高楼层 (共12层),49.57㎡,平层,暂无数据,塔楼,西,钢混结构,其他,一梯二十一户,有,70年,2018/3/1,商品房,2014/11/7,普通住宅,满两年,暂无数据,"
                                暂无数据
                              ",已上传房本照片,,,
